,id,StartDate,EndDate,Duration__in_seconds_,infoconsent,sex,age,district,education,education_other,conlib,religion,marital_status,household,BFI_extra,BFI_agree,BFI_consc,BFI_negem,BFI_open,HVIC_HC_avg,HVIC_VC_avg,HVIC_VI_avg,HVIC_HI_avg,prosoc_ALL_avg,CFC_F_avg,CFC_I_avg,helpless_CLIM_avg,helpless_COV_avg,helpless_VAC_avg,threat_COV_avg,threat_VAC_avg,threat_CLIM_avg,procovid_avg,proenviro_avg,provacc_avg,antivacc_avg,bfi1,bfi2,bfi3,bfi4,bfi5,bfi6,bfi7,bfi8,bfi9,bfi10,bfi11,bfi12,bfi13,bfi14,bfi15,bfi16,bfi17,bfi18,bfi19,bfi20,bfi21,bfi22,bfi23,bfi24,bfi25,bfi26,bfi27,bfi28,bfi29,bfi30,HVIC_1,HVIC_2,HVIC_3,HVIC_4,HVIC_5,HVIC_6,HVIC_7,HVIC_8,HVIC_9,HVIC_10,HVIC_11,HVIC_12,HVIC_13,HVIC_14,HVIC_15,HVIC_16,HVIC_17,HVIC_18,HVIC_19,HVIC_20,prosoc_mot_1,prosoc_mot_2,prosoc_mot_3,prosoc_mot_4,prosoc_mot_5,prosoc_mot_6,prosoc_mot_7,prosoc_mot_8,prosoc_mot_9,prosoc_mot_10,prosoc_mot_11,prosoc_mot_12,prosoc_mot_13,prosoc_mot_14,prosoc_mot_15,prosoc_mot_16,prosoc_mot_17,prosoc_mot_18,prosoc_mot_19,prosoc_mot_20,prosoc_mot_21,prosoc_mot_22,prosoc_mot_23,futorient_1,futorient_2,futorient_3,futorient_4,futorient_5,futorient_6,futorient_7,futorient_8,futorient_9,futorient_10,futorient_11,futorient_12,futorient_13,futorient_14,Bclima_1,Bclima_2,Bclima_3,Bclima_4,Bcovid_1,Bcovid_2,Bcovid_3,Bcovid_4,Bvac_1,Bvac_2,Bvac_3,Bvac_4,Ocovid_1,Ocovid_2,Ocovid_3,Ovac_1,Ovac_2,Ovac_3,Oclima_1,Oclima_2,Oclima_3,helpbeh,emosup,supp,soclif,compl,wassep,waspro,plabag,singleplas,throwfood,buycloth,origcloth,food,electro,energy,heat,vacflu,vaccovid,vaccovidX,educ,genvacc,attvacc_1,attvacc_2,attvacc_3,attvacc_4,attvacc_5,attvacc_6,attvacc_7,attvacc_8,attvacc_9,attvacc_10,redirect,finished,alt4_R,alt10_R,alt16_R,alt20_R,alt23_R,prosoc_ALT_avg,prosoc_PUB_avg,prosoc_EMO_avg,prosoc_DIR_avg,prosoc_COM_avg,prosoc_ANO_avg,antivacc1_R,antivacc7_R,antivacc9_R,antivacc10_R,status_R,vacc_emo_avg
0,00445320-bde3-11eb-ba16-1b6b7e4cc699,2021-05-26 10:06:24,2021-05-26 10:38:23,1918.0,"I have read the above, I agree and I am interested in participating in the research.",woman,34.0,Piešťany,high school,,4,4,married,5.0,3.1666666666666665,4.333333333333333,3.8333333333333335,2.1666666666666665,4.166666666666667,4.5,4.25,3.3333333333333335,3.6666666666666665,3.8861111111111115,5.428571428571429,3.2857142857142856,3.5,3.25,4.0,4.0,4.0,4.0,2.4,2.3636363636363638,1.75,2.8,4,4,neutral,4,totally agree,2,totally agree,4,2,4,neutral,neutral,4,2,neutral,2,totally agree,neutral,2,4,4,4,4,2,4,4,totally agree,totally agree,I don't agree at all,totally agree,5 - completely,4,5 - completely,4,5 - completely,3,3,3,3,5 - completely,5 - completely,5 - completely,3,3,5 - completely,5 - completely,5 - completely,4,3,3,4,4,4,1 - not at all,3,5 - completely,5 - completely,3,4,3,4,3,1 - not at all,5 - completely,3,1 - not at all,3,5 - completely,3,3,3,5 - completely,3,5 - completely,6.0,3,4,3,4,6.0,6.0,2,3,4,4,6.0,5 - completely,3,3,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,b,c,a,c,c,c,b,b,c,c,c,b,a,b,c,b,a,b,,a,c,4,1 - totally disagree,1 - totally disagree,1 - totally disagree,5,4,1 - totally disagree,3,2,4,"Yes, I want to continue.",29.0,5.0,3.0,5.0,3.0,3.0,3.8,3.0,3.25,4.666666666666667,5.0,3.6,2.0,5.0,4.0,2.0,1.0,4.0
1,005cdfe0-bde3-11eb-b59d-35bad9e128c1,2021-05-26 07:40:25,2021-05-26 08:00:20,1194.0,"I have read the above, I agree and I am interested in participating in the research.",man,64.0,Dunajská Streda,"university (Mgr., Ing.)",,3,6,married,2.0,4.0,4.5,4.333333333333333,1.3333333333333333,4.333333333333333,4.25,4.0,4.0,4.333333333333333,3.516666666666667,5.714285714285714,2.0,4.5,2.75,2.25,4.0,4.666666666666667,5.0,2.8,2.909090909090909,1.5,3.3,2,4,totally agree,I don't agree at all,4,4,totally agree,2,I don't agree at all,4,4,totally agree,totally agree,I don't agree at all,totally agree,4,neutral,totally agree,I don't agree at all,4,totally agree,totally agree,totally agree,2,totally agree,totally agree,totally agree,4,2,4,4,4,4,4,4,5 - completely,4,4,4,4,4,4,4,5 - completely,4,4,3,5 - completely,4,4,3,4,4,4,3,4,5 - completely,2,5 - completely,5 - completely,4,3,3,3,4,3,4,4,2,2,4,2,2,5 - completely,5 - completely,2,2,2,6.0,6.0,6.0,2,2,2,2,6.0,6.0,6,5,5,2,3,3,3,2,2,3,2,2,4,4,4,5,5,4,5,5,5,b,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,a,a,,b,b,4,2,3,5,5,3,2,4,3,4,"No, I wish to end my participation.",0.0,2.0,1.0,3.0,4.0,4.0,2.8,3.25,3.75,4.0,4.5,2.8,2.0,4.0,3.0,2.0,1.0,3.4583333333333335
2,00ab97b0-bde3-11eb-b8ab-51c90806ceff,2021-05-26 08:28:51,2021-05-26 09:05:17,2185.0,"I have read the above, I agree and I am interested in participating in the research.",woman,38.0,Košice II,"university (Mgr., Ing.)",,3,4,married,4.0,3.3333333333333335,4.5,4.166666666666667,2.3333333333333335,3.8333333333333335,4.0,3.75,3.0,4.0,3.5027777777777778,4.571428571428571,3.142857142857143,5.25,4.75,5.25,5.0,5.666666666666667,5.0,2.4,2.0,1.75,2.3,2,totally agree,totally agree,4,4,2,totally agree,4,2,neutral,4,4,4,2,4,4,4,4,2,neutral,neutral,4,totally agree,2,4,totally agree,totally agree,neutral,2,totally agree,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,4,4,4,3,2,4,2,2,2,3,4,4,4,3,4,3,1 - not at all,4,4,1 - not at all,2,4,4,1 - not at all,3,5 - completely,1 - not at all,5 - completely,3,5 - completely,4,3,5 - completely,6.0,5 - completely,2,2,3,3,4,4,5,6,5,5,5,5,5,4,6,5,6,4,5,5,5,6,6,5,5,5,5,b,c,b,c,b,c,b,b,c,a,a,a,a,c,c,b,b,a,,a,c,4,3,4,2,2,2,4,2,4,4,"Yes, I want to continue.",40.0,4.0,3.0,5.0,5.0,5.0,4.4,1.75,3.0,3.6666666666666665,4.0,4.2,2.0,2.0,2.0,2.0,1.0,5.458333333333334
3,00b72e40-bde3-11eb-b24c-c1bf9a458e97,2021-05-27 07:35:42,2021-05-27 07:53:56,1093.0,"I have read the above, I agree and I am interested in participating in the research.",woman,28.0,Žiar nad Hronom,"university (Mgr., Ing.)",,4,3,single,2.0,3.0,4.166666666666667,4.0,2.8333333333333335,2.6666666666666665,4.0,3.5,2.6666666666666665,3.6666666666666665,3.2472222222222222,5.0,3.2857142857142856,4.5,4.5,4.75,5.333333333333333,3.3333333333333335,4.333333333333333,2.0,1.6363636363636365,1.75,3.0,2,4,4,neutral,2,2,4,neutral,neutral,neutral,4,4,4,neutral,neutral,4,4,totally agree,neutral,2,neutral,totally agree,4,neutral,neutral,neutral,4,4,2,neutral,4,4,3,2,4,3,3,4,3,4,4,4,3,4,5 - completely,3,2,4,3,3,3,3,3,3,2,3,4,4,4,3,4,3,1 - not at all,3,3,1 - not at all,2,4,3,2,2,3,1 - not at all,5 - completely,4,2,3,4,5 - completely,5 - completely,5 - completely,5 - completely,4,2,3,6.0,5 - completely,3,4,6,5,5,4,5,4,5,5,4,5,6,5,5,4,3,3,5,4,4,b,b,a,c,b,b,a,b,b,a,a,a,b,a,c,b,a,b,,b,b,2,1 - totally disagree,3,4,2,3,3,3,3,2,"Yes, I want to continue.",39.0,3.0,3.0,5.0,4.0,5.0,4.0,2.25,2.5,3.3333333333333335,4.0,3.4,4.0,3.0,3.0,4.0,2.0,4.041666666666667
4,013b6a00-bde3-11eb-8a64-01932a52efbb,2021-05-26 11:00:54,2021-05-26 11:14:49,835.0,"I have read the above, I agree and I am interested in participating in the research.",woman,29.0,Prievidza,"university (Mgr., Ing.)",,5,2,single,3.0,3.0,3.8333333333333335,4.0,2.0,3.0,3.75,3.75,3.0,2.6666666666666665,3.216666666666667,4.714285714285714,3.2857142857142856,4.5,3.25,2.75,5.0,4.0,5.666666666666667,2.2,2.090909090909091,1.5,2.3,2,4,4,2,neutral,2,4,4,2,neutral,neutral,neutral,4,2,neutral,4,4,4,2,2,neutral,4,4,2,4,4,4,4,2,neutral,4,4,3,3,4,2,4,3,3,4,3,4,3,3,4,4,3,4,3,4,3,3,3,2,2,3,4,4,3,4,3,3,2,3,3,2,3,4,3,3,3,4,2,5 - completely,5 - completely,3,4,4,5 - completely,5 - completely,3,2,3,3,4,5 - completely,5 - completely,5,5,4,4,4,3,3,3,3,3,3,2,5,5,5,4,4,4,6,5,6,b,b,a,c,c,c,b,b,c,a,b,b,a,b,c,b,a,b,,a,b,4,3,2,2,3,2,3,2,4,4,"Yes, I want to continue.",50.0,4.0,2.0,4.0,3.0,4.0,3.4,2.5,3.0,3.0,4.0,3.4,2.0,3.0,2.0,2.0,2.0,3.375
5,014b6cb0-bde3-11eb-8fb4-59b64b5c3c27,2021-05-26 07:54:20,2021-05-26 08:23:43,1762.0,"I have read the above, I agree and I am interested in participating in the research.",woman,28.0,Nitra,high school without graduation,,4,5,single,4.0,4.166666666666667,4.0,4.833333333333333,2.5,3.0,4.0,4.0,4.0,3.6666666666666665,4.122222222222223,5.0,3.142857142857143,5.5,5.5,5.75,5.666666666666667,7.0,6.0,2.4,1.8181818181818181,1.75,2.9,totally agree,4,totally agree,4,2,4,totally agree,totally agree,I don't agree at all,neutral,4,4,totally agree,2,4,4,4,totally agree,2,2,4,4,totally agree,2,neutral,4,neutral,4,4,4,4,5 - completely,3,4,4,4,3,4,4,4,3,5 - completely,4,4,5 - completely,5 - completely,2,4,3,4,2,3,4,3,3,4,5 - completely,5 - completely,4,1 - not at all,5 - completely,4,1 - not at all,5 - completely,4,1 - not at all,3,5 - completely,5 - completely,1 - not at all,4,5 - completely,1 - not at all,6.0,5 - completely,4,4,4,5 - completely,5 - completely,5 - completely,3,2,2,3,5 - completely,4,5,6,6,5,6,6,6,4,7 - totally agree,6,7 - totally agree,3,6,6,5,7 - I feel very threatened,7 - I feel very threatened,7 - I feel very threatened,6,7 - I feel very threatened,5,b,c,a,c,c,c,a,b,c,a,b,a,a,b,b,b,b,a,,a,c,4,2,3,3,5,3,3,3,3,4,"Yes, I want to continue.",30.0,3.0,5.0,5.0,5.0,5.0,4.6,2.5,3.5,4.333333333333333,5.0,4.8,2.0,3.0,3.0,2.0,2.0,6.375
6,01c10760-bde3-11eb-998c-05e40abda4f1,2021-05-28 10:42:57,2021-05-28 11:05:34,1356.0,"I have read the above, I agree and I am interested in participating in the research.",woman,34.0,Bratislava IV,"university (Mgr., Ing.)",,5,1 - religion is not important to me at all,single,1.0,2.1666666666666665,2.6666666666666665,2.8333333333333335,3.1666666666666665,2.3333333333333335,2.5,2.25,2.3333333333333335,3.6666666666666665,2.472222222222222,3.857142857142857,3.4285714285714284,4.75,2.0,2.0,4.0,4.0,4.333333333333333,2.2,1.6363636363636365,2.0,1.8,I don't agree at all,neutral,neutral,neutral,2,2,2,neutral,neutral,totally agree,neutral,neutral,neutral,neutral,2,2,2,2,neutral,I don't agree at all,neutral,neutral,neutral,4,2,2,neutral,neutral,neutral,2,2,2,2,3,3,3,3,4,2,3,4,2,2,2,3,3,3,3,3,4,1 - not at all,2,3,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,4,3,4,3,5 - completely,4,4,4,3,3,3,3,4,4,4,5,5,5,2,2,2,2,2,2,2,2,5,4,3,5,4,3,5,4,4,a,c,a,c,c,b,a,b,b,b,b,a,a,a,b,b,a,b,,b,c,4,1 - totally disagree,2,2,1 - totally disagree,2,4,2,4,4,"No, I wish to end my participation.",0.0,4.0,3.0,4.0,4.0,4.0,3.8,2.0,2.0,2.3333333333333335,2.5,2.2,2.0,2.0,2.0,2.0,2.0,3.0
7,01fae890-bde3-11eb-9798-0b5bc1bf55b2,2021-05-28 23:02:26,2021-05-29 00:03:56,3689.0,"I have read the above, I agree and I am interested in participating in the research.",man,40.0,Košice II,high school,,4,5,married,3.0,3.8333333333333335,4.0,4.0,2.0,3.8333333333333335,4.25,3.5,3.0,4.0,3.255555555555556,5.0,2.5714285714285716,4.75,3.0,3.0,4.666666666666667,3.0,4.666666666666667,2.2,2.272727272727273,1.5,3.0,4,4,4,2,neutral,neutral,neutral,4,2,4,4,4,4,2,4,4,4,4,2,neutral,4,totally agree,totally agree,2,totally agree,4,4,neutral,2,4,4,4,3,3,4,4,4,4,3,4,4,3,3,5 - completely,4,4,3,4,4,4,3,4,3,4,3,4,4,3,4,4,2,2,3,5 - completely,3,3,3,4,3,3,3,3,4,5 - completely,6.0,2,2,3,3,5 - completely,5 - completely,2,4,2,3,6.0,5 - completely,5,5,5,4,3,3,3,3,3,3,3,3,4,5,5,3,3,3,4,5,5,b,b,b,b,c,c,c,c,b,b,b,a,a,c,c,b,a,b,,a,b,3,2,2,4,4,3,2,2,3,3,"No, I wish to end my participation.",0.0,2.0,2.0,3.0,3.0,2.0,2.4,3.0,3.0,4.333333333333333,4.0,2.8,3.0,4.0,3.0,3.0,1.0,3.0
8,020e7130-bde3-11eb-a2d2-f1029af5022b,2021-05-26 15:16:00,2021-05-26 15:32:07,966.0,"I have read the above, I agree and I am interested in participating in the research.",man,49.0,Prievidza,high school without graduation,,4,6,married,2.0,2.8333333333333335,3.3333333333333335,3.1666666666666665,2.8333333333333335,3.3333333333333335,3.0,3.25,3.0,3.0,3.6999999999999997,5.285714285714286,5.0,4.75,4.75,5.25,5.333333333333333,5.333333333333333,5.333333333333333,2.0,1.7272727272727273,2.0,2.4,2,4,neutral,4,4,neutral,neutral,2,4,2,4,4,4,2,4,4,neutral,4,2,neutral,2,4,4,2,4,2,2,2,neutral,neutral,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,5 - completely,5 - completely,5 - completely,5 - completely,5 - completely,5 - completely,6.0,6.0,5 - completely,5 - completely,5 - completely,5 - completely,5 - completely,5 - completely,4,5,5,5,4,5,6,4,5,6,6,4,5,5,6,5,5,6,5,5,6,b,b,b,b,b,b,b,b,b,a,b,a,a,a,c,b,b,c,b,a,b,4,3,2,3,3,2,4,3,4,4,"No, I wish to end my participation.",0.0,2.0,2.0,3.0,2.0,3.0,2.4,4.0,4.0,4.0,4.0,3.8,2.0,2.0,2.0,2.0,1.0,5.291666666666666
9,02d47240-bde3-11eb-837a-472332d34dcd,2021-05-26 19:44:19,2021-05-26 20:03:42,1162.0,"I have read the above, I agree and I am interested in participating in the research.",man,81.0,Martin,"university (Mgr., Ing.)",,4,6,widow/widower,2.0,3.1666666666666665,2.8333333333333335,3.0,2.6666666666666665,3.0,3.0,3.75,3.0,3.0,2.5555555555555554,3.142857142857143,3.5714285714285716,4.0,1.75,1.0,7.0,1.0,4.0,2.0,2.090909090909091,2.5,1.0,neutral,neutral,neutral,neutral,neutral,neutral,2,neutral,neutral,2,neutral,neutral,neutral,2,neutral,4,neutral,neutral,neutral,neutral,neutral,neutral,neutral,2,4,neutral,neutral,neutral,neutral,neutral,3,3,3,3,3,3,5 - completely,3,3,3,3,4,3,3,3,3,3,3,4,5 - completely,3,1 - not at all,3,3,3,1 - not at all,3,1 - not at all,3,3,3,1 - not at all,3,3,3,1 - not at all,1 - not at all,3,3,1 - not at all,1 - not at all,1 - not at all,3,1 - not at all,1 - not at all,1 - not at all,4,4,4,4,4,4,4,7.0,1 - not at all,4,4,4,4,4,4,4,1 - totally disagree,1 - totally disagree,1 - totally disagree,1 - totally disagree,1 - totally disagree,1 - totally disagree,1 - totally disagree,7 - I feel very threatened,7 - I feel very threatened,7 - I feel very threatened,1 - I don’t feel any threat at all,1 - I don’t feel any threat at all,1 - I don’t feel any threat at all,4,4,4,a,a,b,c,c,b,a,b,b,b,c,a,b,c,c,b,c,c,a,a,c,5,1 - totally disagree,1 - totally disagree,1 - totally disagree,1 - totally disagree,1 - totally disagree,5,1 - totally disagree,5,5,"Yes, I want to continue.",50.0,3.0,3.0,5.0,5.0,3.0,3.8,3.0,1.0,2.3333333333333335,3.0,2.2,1.0,1.0,1.0,1.0,2.0,1.0
